char,folder,modifier,alias_add,nation,illust,voice_actor,ship_type
vampire,azur lane,,,"United Kingdom, Australia",,,
enterprise (hms),azur lane,,,United Kingdom,dsmile,,Light Cruiser
abukuma,kantai collection,,,Japan,,,
agano,kantai collection,,,Japan,,,
akagi,kantai collection,,,Japan,,,
akashi,kantai collection,,,Japan,,,
akatsuki,kantai collection,,,Japan,,,
akebono,kantai collection,,,Japan,,,
akigumo,kantai collection,,,Japan,,,
akishimo,kantai collection,,,Japan,,,
akitsu maru,kantai collection,,,Japan,,,
akitsushima,kantai collection,,,Japan,,,
akizuki,kantai collection,,,Japan,,,
amagi,kantai collection,,,Japan,,,
amagiri,kantai collection,,,Japan,,,
amatsukaze,kantai collection,,,Japan,,,
aoba,kantai collection,,,Japan,,,
aquila,kantai collection,,,Italy,,,
arare,kantai collection,,,Japan,,,
arashi,kantai collection,,,Japan,,,
arashio,kantai collection,,,Japan,,,
ariake,kantai collection,,,Japan,,,
ark royal,kantai collection,,,United Kingdom,,,
asagumo,kantai collection,,,Japan,,,
asahi,kantai collection,,,Japan,,,
asakaze,kantai collection,,,Japan,,,
asashimo,kantai collection,,,Japan,,,
asashio,kantai collection,,,Japan,,,
ashigara,kantai collection,,,Japan,,,
atago,kantai collection,,,Japan,,,
atlanta,kantai collection,,,United States,,,
ayanami,kantai collection,,,Japan,,,
bismarck,kantai collection,,,Germany,,,
brooklyn,kantai collection,,,United States,,,
c.cappellini,kantai collection,,,Italy,,,
chikuma,kantai collection,,,Japan,,,
chitose,kantai collection,,,Japan,,,
chitose a,kantai collection,,,Japan,,,
chitose kou,kantai collection,,,Japan,,,
chiyoda,kantai collection,,,Japan,,,
chiyoda a,kantai collection,,,Japan,,,
chiyoda kou,kantai collection,,,Japan,,,
chougei,kantai collection,,,Japan,,,
choukai,kantai collection,,,Japan,,,
colorado,kantai collection,,,United States,,,
commandant teste,kantai collection,,,France,,,
conte di cavour,kantai collection,,,Italy,,,
conte di cavour nuovo,kantai collection,,,Italy,,,
daitou,kantai collection,,,Japan,,,
dan yang,kantai collection,,,China,,,
de ruyter,kantai collection,,,Netherlands,,,
drum,kantai collection,,,United States,,,
